id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36209429,[36208237],199995,div:int,(none),1,1,104,0,0,0,32074,199995,-1,4829,0,heads_default,gcxwjaAergctjanlrBrvfleqyczqakstdBpaypqoaBzmpayxecuhpcycjbuylqsjcwaznjtancmnAmebpqnduzvvvvvfcxvvgagcxyja,['1921'],['184'],['0']
36210165,[36207757],199998,div:int,(none),1,1,96,0,0,0,32069,199998,-1,4818,0,heads_default,qofwjagczypwssnyxsofuaxoynmhatoAmbewxphefBkjpayxecuAycycjfuywabjikzpnnbcqtBucnasicszvvvvvfcxvvga,['1929'],['63'],['0']
36210073,[36196529],199998,div:int,(none),1,1,101,0,0,0,32096,199998,-1,4839,0,heads_default,wijwjagcnliipayBzayzAhinAwyzljpmmdyycxxdcyzpqBapalyecujiiycvxuyzvvtrbcmkqvjankcrezsbqvuuzvvvvvfcxvvga,['1933'],['86'],['0']
36208417,[36200575],199989,div:int,(none),1,1,106,208,265,0.784906,32099,199989,-1,4850,0,heads_default,akjjxBakjwjagceABleoscayhaluenzjkjlpbzaraalkpByzdcsjpajyecuqicycvobuyzpddrawysmqdyycvBkAueruuzvvvvvfcxvvga,['1946'],['149'],['0']
36210188,[36200546],199999,div:int,(none),1,1,99,0,0,0,32095,199999,-1,4832,0,heads_default,pukwjagcAtalpayzeyzrioAwykpjtmmwydaaxdxlzpqBfpalyecubddycvxuyzAvqrbyfkqvxqAnqrbzouqbzuzvvvvvfcxvvga,['1959'],['96'],['0']
36209751,[36208601],199996,div:int,(none),1,1,104,0,0,0,32074,199996,-1,4829,0,heads_default,AeqrgctjkalrBjjfleqyczjatntdxpwypqoaBzmpayxehshpcycjbuylqsjcfzljtancsnAmebpqnkuzvvvvvfcxvvgagcxwjagcxwja,['1971'],['154'],['0']
36210096,[36201867],199998,div:int,(none),1,1,107,0,0,0,32095,199998,-1,4844,0,heads_default,wijwjagcnliimayBjayzAhinAwszljpmmqyycxxmiyzpqBaqalyecujiiycvxuyzvztrbpboqvankcrezsbqvuuzvvvvvfcxvvgjawgjwja,['1982'],['88'],['0']
36210349,[36207693],199999,div:int,(none),1,1,111,0,0,0,32075,199999,-1,4836,0,heads_default,gcxwjagcxwjaAeBgctjmblrBrafleqyuczdabtkbpwyploaBzmpmayxecuhpcycjbuylqsjcfznjfaocsntmlbcflkuzvvqvvvfcxvvgagcxwja,['1998'],['38'],['0']
36208716,[36201266],199991,div:int,(none),1,1,120,120,174,0.689655,32090,199991,-1,4856,0,heads_default,mkmwjamubwjaizlwjagcruslpoqbfykyrlbbzhqxbchetszajaAfiyzslBjpadpjyecuAiycvbBuyzfvqcxbltacBvrlkcaAenouuzvvAvvfcxvvgamkmwja,['2028'],['114'],['0']
36210280,[36203982],199999,div:int,(none),1,1,104,0,0,0,32066,199999,-1,4818,0,heads_default,qqfwkagczypwussnAxjofuwxxfnmhatoAzbewyphefBzjpayxecuAycqycjfuywxbBikzpnnbcqtBucrasicszvvvvvfcxvvgaqqfyja,['2055'],['45'],['0']
36210418,[36200596],200000,div:int,(none),1,1,99,0,0,0,32101,200000,-1,4841,0,heads_default,xfywjagctxjleoucaybnduenzjkxbybpaiafrkeoyzowBjpapyecuAqcycvofuyzpvdAaeoBcywcvorktliluuzvvvvvfcxvvga,['2065'],['40'],['0']
36205473,[36199567],199974,div:int,(none),1,3,99,192,194,0.989691,32099,199974,-1,4838,0,heads_default,ekjwjagchxqlezucayiuluenzjkxbpbzAraxBebByzscBjpaayecuAicycvobuyzpvdrapoAqjycvBliloeruuzvvvvvfcxvvga,['2098'],['93'],['0']
36209774,[36205213],199996,div:int,(none),1,1,97,0,0,0,32069,199996,-1,4820,0,heads_default,qrfwjagczypwssnAxjofuBxxlpAhatBlzzbrcypdefBzjpayxecuApcycjfuywxyjikzpnnbcqtAucnaoicvzvvvvvfcxvvga,['2135'],['144'],['0']
36207497,[36206618],199985,div:int,(none),1,1,99,0,0,0,32079,199985,-1,4850,0,heads_default,ecubicycvdAuyibApAxbjfjofdpvvwjfrzpuzvvvvvfrxvvgaakawjagcbuwAAuusajftzxwmzohknbybpqbacjdznrzsmBxpay,['2148'],['267'],['0']
36208854,[36205872],199992,div:int,(none),1,1,134,0,0,0,32093,199992,-1,4837,0,heads_default,pxtwjagctixubzdzwjcriyojoykwbpmcqdaexxfAzpqBapakydcuAiqycvxduyopvqacymjkvmklvkbpluBtbumzvvvvfcxvvzapxtwjagctixubzdzwjcriyojoykwbpmcqda,['2183'],['277'],['0']
36210441,[36199509],200000,div:int,(none),1,1,96,0,0,0,32069,200000,-1,4815,0,heads_default,qrfwjagczypwssnAjsofuzxocnmqatoAzbewyphefBzjpayxecuAycycjauywabjikzpnnbcqtBucnasicszvvvvvfcxvvga,['2203'],['40'],['0']
36206232,[36202526],199978,div:int,(none),4,4,103,190,206,0.92233,32069,199978,-1,4826,0,heads_default,lizwjagcteoonumdpmyrdljkceqkdscbAafqmkoBmzuypadxecuodtycjbuyAqkjdstpfjsbtuqBiuxtqpobzvvvvvfcxvvgalindja,"['2244', '2448', '2878', '2997']","['67', '100', '64', '46']","['0', '0', '0', '0']"
36207911,[36198572],199987,div:int,(none),2,3,125,222,246,0.902439,32089,199987,-1,4862,0,heads_default,mkmajamudwjaislwjagcruslpnqcfrbyrwnbzhqxbmblpszajaAnizzshBjpadpyecuAiycvbduyzfzqcxbltacBowlkcaheoAuqzvvvvvfcxvvgamkmajamkmaja,"['2247', '2613']","['25', '32']","['0', '0']"
36184290,[36162816],199864,div:int,(none),1,13,111,219.481,231.741,0.947095,32052,199864,-1,4862,0,heads_default,AiiojacfjrtzAaycjwjagcijrepqvbcBwnytxpmwsnolAaypbmzozBupawweyecuxwccyccjuypldwurrotnoutqpfkombcrybzvvvvvfcxvvga,['2283'],['212'],['0']
36208141,[36204881],199988,div:int,(none),1,1,100,0,0,0,32093,199988,-1,4841,0,heads_default,cymjkvmkavxbpluBtbumzvvvvvfcxvvgapxtwjagctixubzjzwsceiyicoykwbpmvqdaeoxfAzpqBapakyecuAiqycvvduyopvqa,['2289'],['294'],['0']
36207198,[36199751],199983,div:int,(none),1,1,102,0,0,0,32062,199983,-1,4825,0,heads_default,brfwjagrzopastoAxjBfuwbxcnAhdtbAdsepdypdzfBzjfpayxecuAycecjftywbjikzannbcAnucnazieszvvvvvfcxvvgabwfwja,['2298'],['561'],['0']
36206623,[36201807],199980,div:int,(none),1,1,146,210,294,0.714286,32087,199980,-1,4857,0,heads_default,mubcjaizwlwjagcruslpoqcfybarlnbzhqxbmbeaszajaAbiyzsABjpadpyecuAiycvbBuyzfvqcxbltvcBvrlkcahekouuzvvavvfcxvvgamkuwjamubyjemubcjaazwlwjamubcjaifwlwja,['2323'],['133'],['0']
